########################################
### A World Like Any Other Provinces ###
########################################
PROV1;Paraná Delta;Delta du Paraná;Paraná-Delta;Delta del Paraná;;;;;;;;;x
PROV2;Río Seco;Río Seco;Río Seco;Río Seco;;;;;;;;;x
PROV3;Asunza;Asunza;Asunza;Asunza;;;;;;;;;x
#PROV4;Yunga;Yunga;Yunga;Yunga;;;;;;;;;x
#PROV5;Tumbaya;Tumbaya;Tumbaya;Tumbaya;;;;;;;;;x
PROV6;Chaitén;Chaitén;Chaitén;Chaitén;;;;;;;;;x
PROV7;Alerces;Alerces;Alerces;Alerces;;;;;;;;;x
PROV8;Epuyén;Epuyén;Epuyén;Epuyén;;;;;;;;;x
PROV9;Leleque;Leleque;Leleque;Leleque;;;;;;;;;x
PROV10;Cushamen;Cushamen;Cushamen;Cushamen;;;;;;;;;x
PROV11;Futaleufú;Futaleufú;Futaleufú;Futaleufú;;;;;;;;;x
PROV12;Languiñeo;Languiñeo;Languiñeo;Languiñeo;;;;;;;;;x
PROV13;Carrenleufú;Carrenleufú;Carrenleufú;Carrenleufú;;;;;;;;;x
PROV14;Vintter;Vintter;Vintter;Vintter;;;;;;;;;x
PROV15;Sacanana;Sacanana;Sacanana;Sacanana;;;;;;;;;x
PROV16;Meseta del Colorado;Meseta del Colorado;Colorado-Hochebene;Meseta del Colorado;;;;;;;;;x
PROV17;Bosques Petrificados;Forêts Pétrifiées;Versteinerte Wälder;Bosques Petrificados;;;;;;;;;x
PROV18;Laura;Laura;Laura;Laura;;;;;;;;;x
PROV19;Shehuen;Shehuen;Shehuen;Shehuen;;;;;;;;;x
PROV20;Dawson;Dawson;Dawson;Dawson;;;;;;;;;x
PROV21;Staten Island;Île des États;Staateninsel;Isla de los Estados;;;;;;;;;x
PROV22;Agostini;Agostini;Agostini;Agostini;;;;;;;;;x
PROV23;Navarino;Navarino;Navarino;Navarino;;;;;;;;;x
PROV24;Cabo de Hornos;Cabo de Hornos;Cabo de Hornos;Cabo de Hornos;;;;;;;;;x
PROV25;Ushuaia;Ushuaia;Ushuaia;Ushuaia;;;;;;;;;x
PROV26;Rio Grande;Rio Grande;Rio Grande;;;;;;;;;;x
PROV27;Porvenir;Porvenir;Porvenir;Porvenir;;;;;;;;;x
PROV28;Gran Malvina;Grande Malouine;Westfalkland;Gran Malvina;;;;;;;;;x
PROV29;Soledad;Île Soledad;Ostfalkland;Soledad;;;;;;;;;x
PROV30;Lafonia;Lafonie;Lafonia;Lafonia;;;;;;;;;x
PROV31;Punta Arenas;Punta Arenas;Punta Arenas;Punta Arenas;;;;;;;;;x
PROV32;Riesco;Riesco;Riesco;Riesco;;;;;;;;;x
PROV33;Laguna Blanca;Laguna Blanca;Weiße Lagune;Laguna Blanca;;;;;;;;;x
PROV34;San Gregorio;San Grégoire;Sankt Gregor;San Gregorio;;;;;;;;;x
PROV35;Puerto Natales;Puerto Natales;Puerto Natales;Puerto Natales;;;;;;;;;x
PROV36;Paine;Paine;Paine;Paine;;;;;;;;;x
PROV37;Adelaide;Adélaïde;Adelaide;Adelaida;;;;;;;;;x
PROV38;O'Higgins;O'Higgins;O'Higgins;O'Higgins;;;;;;;;;x
PROV39;Magallanes;Magallanes;Magallanes;Magallanes;;;;;;;;;x
PROV40;Carbonera;Carbonera;Carbonera;Carbonera;;;;;;;;;x
PROV41;Güer Aike;Güer Aike;Güer Aike;Güer Aike;;;;;;;;;x
