###ÄNSI
#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;;;;;;;;;x
PROV1;Celestún;Celestún;Celestún;Celestún;;;;;;;;;x
PROV2;Hunucmá;Hunucmá;Hunucmá;Hunucmá;;;;;;;;;x
PROV3;Mérida;Mérida;Mérida;Mérida;;;;;;;;;x
PROV4;Motul;Motul;Motul;Motul;;;;;;;;;x
PROV5;Dzilam;Dzilam;Dzilam;Dzilam;;;;;;;;;x
PROV6;Tizimín;Tizimín;Tizimín;Tizimín;;;;;;;;;x
PROV7;Valladolid;Valladolid;Valladolid;Valladolid;;;;;;;;;x
PROV8;Tinum;Tinum;Tinum;Tinum;;;;;;;;;x
PROV9;Izamal;Izamal;Izamal;Izamal;;;;;;;;;x
PROV10;Tecoh;Tecoh;Tecoh;Tecoh;;;;;;;;;x
PROV11;Maxcanú;Maxcanú;Maxcanú;Maxcanú;;;;;;;;;x
PROV12;Ticul;Ticul;Ticul;Ticul;;;;;;;;;x
PROV13;Tekax;Tekax;Tekax;Tekax;;;;;;;;;x
PROV14;Sotuta;Sotuta;Sotuta;Sotuta;;;;;;;;;x
PROV15;North Atlantic Ocean;Océan Atlantique Nord;Nordatlantik;Océano Atlántico Norte;;;;;;;;;x
PROV16;Meseta del Colorado;Meseta del Colorado;Colorado-Hochebene;Meseta del Colorado;;;;;;;;;x
PROV17;Bosques Petrificados;Forêts Pétrifiées;Versteinerte Wälder;Bosques Petrificados;;;;;;;;;x
PROV18;Laura;Laura;Laura;Laura;;;;;;;;;x
PROV19;Shehuen;Shehuen;Shehuen;Shehuen;;;;;;;;;x
PROV20;Dawson;Dawson;Dawson;Dawson;;;;;;;;;x
PROV21;Staten Island;Île des États;Staateninsel;Isla de los Estados;;;;;;;;;x
PROV22;Agostini;Agostini;Agostini;Agostini;;;;;;;;;x
PROV23;Navarino;Navarino;Navarino;Navarino;;;;;;;;;x
PROV24;Hornos;Hornos;Hornos;Hornos;;;;;;;;;x
PROV25;Ushaia;Ushaia;Ushaia;Ushaia;;;;;;;;;x
PROV26;Rio Grande del Fuego;Rio Grande del Fuego;Rio Grande del Fuego;;;;;;;;;;x
PROV27;Timakuel;Timakuel;Timakuel;Timakuel;;;;;;;;;x
PROV28;Gran Malvina;Grande Malouine;Westfalkland;Gran Malvina;;;;;;;;;x
PROV29;Soledad;Île Soledad;Ostfalkland;Soledad;;;;;;;;;x
PROV30;Lafonia;Lafonie;Lafonia;Lafonia;;;;;;;;;x
PROV31;Punta Arenas;Punta Arenas;Punta Arenas;Punta Arenas;;;;;;;;;x
PROV32;Riesco;Riesco;Riesco;Riesco;;;;;;;;;x
PROV33;Laguna Blanca;Laguna Blanca;Weiße Lagune;Laguna Blanca;;;;;;;;;x
PROV34;San Gregorio;San Grégoire;Sankt Gregor;San Gregorio;;;;;;;;;x
PROV35;Puerto Natales;Puerto Natales;Puerto Natales;Puerto Natales;;;;;;;;;x
PROV36;Paine;Paine;Paine;Paine;;;;;;;;;x
PROV37;Adelaide;Adélaïde;Adelaide;Adelaida;;;;;;;;;x
PROV38;O'Higgins;O'Higgins;O'Higgins;O'Higgins;;;;;;;;;x
PROV39;Magallanes;Magallanes;Magallanes;Magallanes;;;;;;;;;x
PROV40;Carbonera;Carbonera;Carbonera;Carbonera;;;;;;;;;x
PROV41;Güer Aike;Güer Aike;Güer Aike;Güer Aike;;;;;;;;;x
PROV42;Gallegos;Gallegos;Gallegos;Gallegos;;;;;;;;;x
PROV43;Calafate;Calafate;Calafate;Calafate;;;;;;;;;x
PROV44;Leona;Leona;Leona;Leona;;;;;;;;;x
PROV45;Chaltén;Chaltén;Chaltén;Chaltén;;;;;;;;;x
PROV46;Corpen Aike;Corpen Aike;Corpen Aike;Corpen Aike;;;;;;;;;x
PROV47;Santa Cruz;Santa Cruz;Santa Cruz;Santa Cruz;;;;;;;;;x
PROV48;San Julián;San Julien;San Julián;San Julián;;;;;;;;;x
PROV49;Deseado;Désiré;Deseado;Deseado;;;;;;;;;x
PROV50;Cordón Alto;Cordon Alto;Hohe Kordillere;Cordón Alto;;;;;;;;;x
PROV51;Olivia;Olivia;Olivia;Olivia;;;;;;;;;x
PROV52;Pedrero;Pedrero;Pedrero;Pedrero;;;;;;;;;x
PROV53;Perito Moreno;Perito Moreno;Perito Moreno;Perito Moreno;;;;;;;;;x
PROV54;Gregores;Gregores;Gregores;Gregores;;;;;;;;;x
PROV55;Wellington;Wellington;Wellington;Wellington;;;;;;;;;x
PROV56;Tortel;Tortel;Tortel;Tortel;;;;;;;;;x
PROV57;Cochrane;Cochrane;Cochrane;Cochrane;;;;;;;;;x
PROV58;Chile Chico;Chile Chico;Chile Chico;Chile Chico;;;;;;;;;x
PROV59;Aysén;Aysén;Aysén;Aysén;;;;;;;;;x
PROV60;Guaitecas;Guaïtecas;Guaitecas;Guaitecas;;;;;;;;;x
PROV61;Río Ibáñez;Río Ibáñez;Río Ibáñez;Río Ibáñez;;;;;;;;;x
PROV62;Coyhaique;Coyhaique;Coyhaique;Coyhaique;;;;;;;;;x
PROV63;Lago Verde;Lago Verde;Grüner See;Lago Verde;;;;;;;;;x
PROV64;Cisnes;Cisnes;Cisnes;Cisnes;;;;;;;;;x
PROV65;Valdés;Valdés;Valdés;Valdés;;;;;;;;;x
PROV66;Viedma;Viedma;Viedma;Viedma;;;;;;;;;x
PROV67;Rawson;Rawson;Rawson;Rawson;;;;;;;;;x
PROV68;Gaiman;Gaiman;Gaiman;Gaiman;;;;;;;;;x
PROV69;Ameghino;Ameghino;Ameghino;Ameghino;;;;;;;;;x
PROV70;Telsen;Telsen;Telsen;Telsen;;;;;;;;;x
PROV71;Mártires;Martyrs;Märtyrer;Mártires;;;;;;;;;x
PROV72;Escalante;Escalante;Escalante;Escalante;;;;;;;;;x
PROV73;Sarmiento;Sarmiento;Sarmiento;Sarmiento;;;;;;;;;x
PROV74;Senguer;Senguer;Senguer;Senguer;;;;;;;;;x
PROV75;Mayo;Mayo;Mayo;Mayo;;;;;;;;;x
PROV76;Paso de Indios;Paso de Indios;Paso de Indios;Paso de Indios;;;;;;;;;x
PROV77;Gastre;Gastre;Gastre;Gastre;;;;;;;;;x
PROV78;Pelque;Pelque;Pelque;Pelque;;;;;;;;;x
PROV79;Cardiel;Cardiel;Cardiel;Cardiel;;;;;;;;;x
PROV80;Pampa del Asador;Pampa del Asador;Pampa del Asador;Pampa del Asador;;;;;;;;;x
PROV81;Moyano;Moyano;Moyano;Moyano;;;;;;;;;x
PROV82;Pampa del Setenta;Pampa del Setenta;Pampa del Setenta;Pampa del Setenta;;;;;;;;;x

PROV86;Strait of Magellan;Détroit de Magellan;Magellanstraße;Estrecho de Magallanes;;;;;;;;;x
PROV87;Bahía Desengaño;Baie Desengaño;Bucht Desengaño;Bahía Desengaño;;;;;;;;;x
PROV88;Whiteside Channel;Canal Whiteside;Whiteside-Kanal;Canal Whiteside;;;;;;;;;x
PROV89;Beagle Channel;Canal Beagle;Beagle-Kanal;Canal Beagle;;;;;;;;;x
PROV90;Strait of Magellan;Détroit de Magellan;Magellanstraße;Estrecho de Magallanes;;;;;;;;;x
PROV91;Strait of Magellan;Détroit de Magellan;Magellanstraße;Estrecho de Magallanes;;;;;;;;;x
PROV92;Beagle Channel;Canal Beagle;Beagle-Kanal;Canal Beagle;;;;;;;;;x
PROV93;Drake Passage;Passage de Drake;Drakepassage;Pasaje de Drake;;;;;;;;;x
PROV94;Strait of Magellan;Détroit de Magellan;Magellanstraße;Estrecho de Magallanes;;;;;;;;;x
PROV95;Otway Sound;Seno Otway;Otway-Sund;Seno Otway;;;;;;;;;x
PROV96;Skyring Sound;Seno Skyring;Skyring-Sund;Seno Skyring;;;;;;;;;x
PROV97;Cape Horn;Cap Horn;Kap Hoorn;Cabo de Hornos;;;;;;;;;x
PROV98;Strait of Magellan;Détroit de Magellan;Magellanstraße;Estrecho de Magallanes;;;;;;;;;x
PROV99;Beagle Channel;Canal Beagle;Beagle-Kanal;Canal Beagle;;;;;;;;;x
PROV100;Strait of Le Maire;Détroit de Le Maire;Le-Maire-Straße;Estrecho de Le Maire;;;;;;;;;x
PROV101;Argentine Sea;Mer d'Argentine;Argentinisches Meer;Mar Argentino;;;;;;;;;x
PROV102;Coast of Tierra del Fuego;Côte de la Terre de Feu;Küste von Feuerland;Costa de Tierra del Fuego;;;;;;;;;x
PROV103;Coast of the Malvinas;Côte des Malouines;Küste der Malwinen;Costa de las Malvinas;;;;;;;;;x
PROV104;Coast of the Malvinas;Côte des Malouines;Küste der Malwinen;Costa de las Malvinas;;;;;;;;;x
PROV105;Coast of Patagonia;Côte de Patagonie;Küste Patagoniens;Costa de la Patagonia;;;;;;;;;x
PROV106;Coast of Deseado;Côte de Deseado;Küste der Deseado;Costa de Deseado;;;;;;;;;x
PROV107;Northern Argentine Sea;Mer d'Argentine septentrionale;Nördliches Argentinisches Meer;Mar Argentino Septentrional;;;;;;;;;x
PROV108;Gulf of Saint George;Golfe Saint-Georges;Sankt-Georgs-Golf;Golfo de San Jorge;;;;;;;;;x

PROV149;Fagnano Lake;Lac Fagnano;Fagnano-See;Lago Fagnano;;;;;;;;;x
PROV150;Yehuin Lake;Lac Yehuin;Yehuin-See;Lago Yehuin;;;;;;;;;x
PROV151;White Lake;Lac Blanc;Weißer See;Lago Blanco;;;;;;;;;x
